ID,Gender,Age,Work_Attire,Weather,Casual,Preferred_Styles,Clothing_items,Bottom_Type,Top_Type,Shoe_Type,Colors,Patterns,Fabrics,Top_Fit,Bottom_Fit
Outfit1,Woman,Adult,Semi-Formal,Mild,Sometimes,Casual; Classy,Cardigans; Pants; Shoes,Trousers,Sweaters; N/A,Flats,Neutral,Plain,Fabrics,Straight,Loose
Outfit2,Woman,Adult,Corporate,Cool,Rarely,Casual; Classy,Coats; Blouses; Pants; Boots,Trousers,T-shirts,Boots,Warm; Neutral,Plain,Wool; N/A,Fitted,Loose
Outfit3,Woman,Adult,Casual,Warm,Often,Casual; Classy,Blouses; Pants; Sandals,Trousers,T-shirts,Sandals,Neutral;,Stripes,Wool; N/A,Fitted,Loose
Outfit4,Woman,Adult,Casual,Mild,Sometimes,Casual; Classy,Shirts; Blouses; Pants; Sandals,Trousers,T-shirts; T-shirts,Sandals,Cool; Neutral,Plain,Cotton,Fitted,Loose
Outfit5,Woman,Adult,Semi-Formal,Mild,Often,Casual; Classy,Blazers; Blouses; Pants; Sneakers,Trousers,T-shirts; N/A,Sneakers,Neutral,Stripes,Cotton; Wool,Fitted,Loose
Outfit6,Woman,Adult,Semi-Formal,Mild,Sometimes,Casual; Classy,Blazers; Blouses; Jeans; Sandals,Trousers,T-shirts; N/A,Sandals,Neutral; Cool,Plain,Cotton; Denim,Fitted,Fitted
Outfit7,Woman,Adult,Casual,Mild,Often,Casual; Classy,Shirts; Blouses; Pants; Sneakers,Trousers,T-shirts; T-shirts,Sneakers,Neutral,Plain,Cotton,Fitted,Loose
Outfit8,Woman,Adult,Corporate,Warm,Sometimes,Casual; Classy,Blouses; Pants; Shoes,Trousers,T-shirts,Flats,Cool,Plain,Cotton,Fitted,Loose
Outfit9,Woman,Adult,Corporate,Warm,Often,Casual; Classy,Blouses; Skirts; Sandals,Skirts,T-shirts,Sandals,Warm; Neutral,Plain,Cotton; N/A,Fitted,Fitted
Outfit10,Woman,Adult,Corporate,Mild,Sometimes,Casual; Classy,Blazers; Blouses; Jeans; Shoes,Trousers,T-shirts; N/A,Flats,Neutral; Cool,Plain,Cotton; Denim,Fitted,Fitted
Outfit11,Woman,Adult,Casual,Mild,Often,Casual; Classy,Blazers; Blouses; Jeans; Sneakers,Trousers,T-shirts; N/A,Sneakers,Neutral; Cool,Plain,Cotton; Denim,Fitted,Fitted
Outfit12,Woman,Adult,Casual,Warm,Sometimes,Classy,Blouses; Skirts; Shoes,Skirts,T-shirts,Flats,Cool; Neutral,Florals,Cotton; Silk,Fitted,Loose
Outfit13,Woman,Adult,Casual,Mild,Often,Classy,Shirts; Jeans; Loafers,Trousers,T-shirts,Flats,Neutral; Cool,Plain,Cotton; Denim,Loose,Loose
Outfit14,Woman,Adult,Corporate,Mild,Sometimes,Classy,Cardigans; Blouses; Pants; Shoes,Trousers,T-shirts; Sweaters,Flats,Neutral,Stripes,Cotton; Wool,Fitted,Loose
Outfit15,Woman,Adult,Semi-Formal,Mild,Sometimes,Classy,Blazers; Blouses; Jeans; Sneakers,Trousers,T-shirts; N/A,Sneakers,Cool; Neutral,Plain,Cotton; Denim,Fitted,Fitted
Outfit16,Woman,Adult,Corporate,Mild,Often,Classy,Blazers; Blouses; Pants; Shoes,Trousers,T-shirts; N/A,Flats,Neutral,Stripes,Cotton; Wool,Fitted,Loose
Outfit17,Woman,Adult,Corporate,Mild,Sometimes,Classy,Jackets; Blouses; Pants; Boots,Trousers,T-shirts; N/A,Boots,Neutral,Plain,Cotton; Wool,Fitted,Loose
Outfit18,Woman,Adult,Casual,Mild,Often,Classy,Coats; Blouses; Jeans; Sneakers,Trousers,T-shirts,Sneakers,Warm; Cool,Plain,Cotton; Denim,Loose,Loose
Outfit19,Woman,Adult,Semi-Formal,Mild,Sometimes,Classy,Blazers; Shirts; Jeans; Boots,Trousers,T-shirts; N/A,Boots,Cool,Stripes,Cotton; Denim,Fitted,Fitted
Outfit20,Woman,Adult,Casual,Warm,Sometimes,Classy,Shirts; Pants; Sandals,Trousers,T-shirts,Sandals,Cool; Neutral,Stripes,Cotton; N/A,Loose,Loose
Outfit21,Woman,Adult,Corporate,Cool,Rarely,Classy,Jackets; Blouses; Pants; Heels,Trousers,T-shirts; N/A,Heels,Neutral,Plain,Wool; Silk,Fitted,Loose
Outfit22,Woman,Adult,Corporate,Cool,Sometimes,Classy,Coats; Sweaters; Shirts; Pants,Trousers,Sweaters; T-shirts; N/A,Flats,Cool,Plain,Wool,Loose,Loose
Outfit23,Woman,Adult,Corporate,Mild,Sometimes,Classy,Blazers; Shirts; Pants; Heels,Trousers,T-shirts; N/A,Heels,Cool; Neutral,Stripes,Cotton; Wool,Fitted,Loose
Outfit24,Woman,Adult,Corporate,Cool,Sometimes,Classy,Coats; Shirts; Pants; Heels,Trousers,T-shirts; N/A,Heels,Neutral,Stripes,Wool; Cotton,Loose,Fitted
Outfit25,Woman,Adult,Corporate,Mild,Often,Classy,Blazers; Blouses; Pants; Sneakers,Trousers,T-shirts; N/A,Sneakers,Neutral,Stripes,Cotton; Wool,Fitted,Fitted
Outfit26,Woman,Adult,Casual,Warm,Often,Casual,Blazers; Sports_bras; Leggings; Sneakers,Trousers,N/A,Sneakers,Neutral,Plain,Cotton,Fitted,Tight
Outfit27,Woman,Adult,Casual,Cool,Often,Casual,Hoodies; Skirts; Sneakers,Skirts,Sweaters,Sneakers,Neutral; Cool,Plain,Wool; Denim,Loose,Loose
Outfit28,Woman,Adult,Casual,Warm,Often,Casual,T-shirts; Jeans; Sneakers,Trousers,T-shirts,Sneakers,Neutral; Cool,Plain,Cotton; Denim,Loose,Loose
Outfit29,Woman,Adult,Casual,Warm,Often,Casual,T-shirts; Jeans; Heels,Trousers,T-shirts,Heels,Warm; Cool,Stripes,Cotton; Denim,Loose,Loose
Outfit30,Woman,Adult,Casual,Warm,Often,Casual,T-shirts; Skirts; Sneakers,Skirts,T-shirts,Sneakers,Neutral ,Plaids,Cotton; Wool,Loose,Fitted
Outfit31,Woman,Adult,Casual,Mild,Often,Casual,T-shirts; Jeans; Heels,Trousers,T-shirts,Heels,Neutral; Cool,Plain,Cotton; Denim,Loose,Fitted
Outfit32,Woman,Adult,Casual,Warm,Often,Casual,T-shirts; Jeans; Heels,Trousers,T-shirts,Heels,Neutral; Cool,N/A,Cotton; Denim,Loose,Loose
Outfit33,Woman,Adult,Semi-Formal,Cool,Sometimes,Classy,Sweaters; Shirts; Pants; Boots,Trousers,Sweaters; T-shirts,Boots,Neutral,Stripes,Wool; Cotton,Loose,Loose
Outfit34,Woman,Adult,Semi-Formal,Mild,Sometimes,Classy,Shirts; Jeans; Heels,Trousers,T-shirts,Heels,Neutral; Cool,Plain,Cotton; Denim,Loose,Fitted
Outfit35,Woman,Adult,Semi-Formal,Mild,Sometimes,Classy,Shirts; Pants; Heels,Trousers,T-shirts,Heels,Neutral,Stripes,Cotton; Wool,Loose,Loose
Outfit36,Woman,Adult,Casual,Mild,Often,Casual,Shirts; Jeans; Shoes,Trousers,T-shirts,Flats,Cool,Plain,Denim,Loose,Loose
Outfit37,Woman,Adult,Casual,Warm,Often,Casual,Shirts; Blouses; Jeans; Heels,Trousers,T-shirts; T-shirts,Heels,Warm; Cool,Plain,Cotton; Denim,Loose,Fitted
Outfit38,Woman,Adult,Casual,Warm,Sometimes,Classy,Shirts; Jeans; Heels,Trousers,T-shirts,Heels,Cool; Neutral,Stripes,Cotton; Denim,Loose,Fitted
Outfit39,Woman,Adult,Semi-Formal,Cool,Sometimes,Classy,Shirts; Jeans; Heels,Trousers,T-shirts,Heels,Neutral; Cool,Plain,Cotton; Denim,Loose,Fitted
Outfit40,Woman,Adult,Corporate,Mild,Sometimes,Classy,Shirts; Pants; Sandals,Trousers,T-shirts,Sandals,Cool; Neutral,Plain,Cotton; Wool,Straight,Loose
Outfit41,Woman,Adult,Casual,Warm,Often,Casual; Classy,Blouses; Skirts,Skirts,T-shirts,N/A,Neutral,Plain,Denim; Cotton,Fitted,Fitted
Outfit42,Woman,Adult,Semi-Formal,Warm,Sometimes,Classy,T-shirts; Pants; Sandals,Trousers,T-shirts,Sandals,Neutral,Plain,Cotton,Tight,Straight
Outfit43,Man,Adult,Casual,Warm,Often,Laidback; Casual,Shirts; Shorts; Shoes,Shorts,T-shirts,Flats,Neutral ,Plain,Cotton,Straight,Straight
Outfit44,Woman,Adult,Semi-Formal,Mild,Sometimes,Classy; Streetwear,T-shirts; Pants; Blazers; Sneakers,Trousers,T-shirts,Sneakers,Neutral ,Plain,Cotton; Wool,Fitted,Straight
