ID,Gender,Age,Work_Attire,Weather,Casual,Preferred_Styles,Clothing_items,Bottom_Type,Top_Type,Shoe_Type,Colors,Patterns,Fabrics,Top_Fit,Bottom_Fit
1,Woman,YoungAdult,Semi-Formal;,Cold;,Often,Casual; Laidback; Colorful; Classy; Formal;,T-shirts; Shirts; Blouses; Sweaters; Hoodies; Cardigans; Blazers; Jeans; Pants; Skirts; Midi dresses; Wrap dresses; Cocktail dresses; Coats; Jackets; Sports bras; Athletic tops; Sneakers; Boots; Sandals; Flats; Heels; Loafers;,Skirts;,Tanks; Sweaters; Sweatshirts;,Sneakers; Heels;,Cool;,Stripes; Plain;,Cotton; Silk;,Fitted; Loose;,Fitted; Straight;
2,Man,Adult,Semi-Formal;,Cold;,Often,Formal; Casual;,T-shirts; Shirts; Jeans; Pants;,Trousers;,T-shirts;,Boots;,Neutral; Warm;,Plain;,Cotton; Denim; Silk; Faux Fur; Leather; Wool; Faux Leather;,Loose;,Loose;
3,Man,YoungAdult,Casual; Semi-Formal;,Cold; Hot; Mild; Cool;,Often,Casual; Classy; Formal; Streetwear;,T-shirts; Shirts; Sweaters; Hoodies; Cardigans; Jeans; Shorts; Sneakers; Athletic shorts;,Trousers; Shorts;,T-shirts; Sweaters; Sweatshirts;,Sneakers;,Cool;,Dice; Stripes;,Denim; Silk;,Straight; Loose;,Straight; Loose;
4,Woman,Adult,Corporate; Semi-Formal; Casual;,Mild; Cool; Cold;,Often,Sexy; Casual; Laidback; Classy; Showy; Formal; Streetwear;,Tshirts; Shirts; Blouses; Sweaters; Hoodies; Cardigans; Blazers; Jeans; Pants; Skirts; Shorts; Jumpsuits; Dresses; Coats; Jackets; Sports_bras; Athletic_tops; Athletic_shorts; Leggings; Sneakers; Boots; Sandals; Flats; Heels; Loafers;,Trousers; Shorts; Skirts;,T-shirts; Sweaters; Sweatshirts; Tanks;,Heels; Sandals; Sneakers; Boots;,Neutral; Cool;,Plain;,Cotton; Denim; Silk; Faux Fur; Leather; Wool; Faux Leather;,Oversize; Loose; Straight; Fitted; Tight;,Fitted; Straight; Loose; Oversize;
5,Man,Adult,Semi-Formal; Casual;,Cool; Cold; Mild;,Often,Grungy; Casual; Laidback; Classy; Bohemian; Streetwear;,T-shirts; Shirts; Sweaters; Hoodies; Pants; Jackets; Athletic shorts; Sandals; Sneakers;,Trousers;,T-shirts;,Sneakers;,Cool; Neutral;,Plaids; Polka dots; Stripes; Plain;,Cotton; Denim; Silk; Wool;,Loose;,Loose;
6,Woman,Adult,Corporate; Semi-Formal; Casual;,Mild; Cool; Cold; Warm;,Often,Sexy; Casual; Laidback; Classy; Colorful; Formal;,T-shirts; Shirts; Blouses;Sweaters; Hoodies; Cardigans; Blazers; Jeans; Pants; Skirts; Shorts; Leggings; Jumpsuits; Mini dresses; Midi dresses; Maxi dresses; Bodycon dresses; Wrap dresses; Cocktail dresses; Coats; Sports bras; Athletic tops; Sneakers; Boots; Sandals; Flats; Heels; Loafers;,Skirts;,T-shirts; Sweaters; Sweatshirts; Tanks;,Sneakers; Boots; Flats; Heels; Sandals;,Neutral; Warm;,Florals; Plaids; Stripes; Plain;,Cotton; Denim; Silk; Leather; Faux Leather;,Loose; Fitted; Tight; Oversize;,Fitted; Loose; Oversize;
7,Man,Adult,Semi-Formal; Casual;,Cool; Warm; Cold; Mild;,Often,Grungy; Sexy; Casual; Formal; Colorful; Showy; Laidback; Streetwear;,T-shirts; Shirts; Sweaters; Hoodies; Cardigans; Blazers; Jeans; Pants; Shorts; Coats; Jackets; Athletic tops; Boots; Sneakers;,Trousers; Shorts;,T-shirts; Sweaters; Sweatshirts; Tanks;,Sneakers; Boots;,Cool;,Plain; Stripes;,Cotton; Silk;,Fitted; Straight; Loose; Oversize;,Fitted; Straight; Loose; Oversize;
8,Woman,Adult,Casual;,Cold;,Often,Formal; Classy; Laidback;,Jeans; Shorts; Jumpsuits; Jackets; Wrap dresses; Boots;,Trousers;,T-shirts; Sweaters; Sweatshirts; Tanks;,Sneakers; Boots;,Neutral; Warm;,Plain; Florals;,Cotton; Denim; Silk; Faux Fur; Leather; Wool; Faux Leather;,Fitted;,Loose;
9,Woman,Adult,Casual; Corporate; Semi-Formal;,Mild; Cool;,Sometimes,Sexy; Casual; Laidback; Classy; Colorful; Streetwear;,T-shirts; Shirts; Blouses; Cardigans; Blazers; Jeans; Pants; Leggings; Midi dresses; Maxi dresses; Cocktail dresses; Coats ; Sneakers; Boots; Sandals; Heels;,Trousers; Skirts;,T-shirts;Tanks;,Sneakers; Boots; Sandals; Flats; Heels;,Warm; Cool;,Dice; Florals; Plaids; Polka dots; Stripes; Plain;,Cotton; Denim; Silk; Wool;,Fitted; Straight; Oversize;,Tight; Fitted; Straight;
10,Man,MidAdult,Semi-Formal; Corporate;,Mild; Cool;,Often,Casual; Laidback; Classy; Formal;,Pants; Loafers; Shorts; Jeans; Blazers; Cardigans; Hoodies; Sweaters; Shirts; T-shirts;,Trousers;,T-shirts; Sweaters; Sweatshirts; Tanks;,Boots; Sneakers;,Neutral; Cool;,Plain; Stripes; Plaids;,Cotton; Denim;,Fitted; Straight;,Fitted; Straight;
